epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.618,2.24971,3.82624,1.90782,0.13232,0.11485,0.08188,0.03616,2.27563,3.20051,1.98293,0.00332524,0.00332524,0.0700728
2,374.243,2.18987,2.96068,1.77684,0.0312,0.18167,0.01623,0.00583,2.53401,4.69438,2.30112,0.00659266,0.00659266,0.0400069
3,515.363,2.29844,2.99922,1.8995,0.09513,0.06883,0.03591,0.01021,2.47839,4.30038,2.25583,0.00979407,0.00979407,0.00987498
4,655.434,2.31785,2.96259,1.90914,0.05435,0.06187,0.02059,0.00797,2.42637,4.29202,2.25325,0.009703,0.009703,0.009703
5,795.951,2.23373,2.8125,1.85583,0.15731,0.10884,0.06288,0.02439,2.2661,3.43497,2.07874,0.009604,0.009604,0.009604
6,936.226,2.20475,2.69874,1.8089,0.20788,0.11641,0.08939,0.03737,2.23303,3.55022,2.10375,0.009505,0.009505,0.009505
7,1076.75,2.145,2.62589,1.7842,0.25484,0.20372,0.15214,0.0636,2.15492,3.03947,1.92456,0.009406,0.009406,0.009406
8,1216.72,2.1261,2.542,1.76563,0.40994,0.18301,0.14922,0.07105,2.1788,3.06886,2.06138,0.009307,0.009307,0.009307
9,1356.65,2.08529,2.48974,1.74419,0.18784,0.27375,0.16383,0.06722,2.14981,3.29087,1.95567,0.009208,0.009208,0.009208
10,1497.3,2.0542,2.43833,1.73178,0.43743,0.20015,0.15297,0.06624,2.11561,3.59801,1.96235,0.009109,0.009109,0.009109
11,1636.81,2.02796,2.39897,1.70594,0.47482,0.20928,0.19385,0.07597,2.09706,2.7758,1.93859,0.00901,0.00901,0.00901
12,1776.51,2.01425,2.37968,1.69078,0.17293,0.24931,0.19478,0.07667,2.10191,2.97871,1.94454,0.008911,0.008911,0.008911
13,1915.9,2.01471,2.3622,1.67759,0.24466,0.25126,0.18994,0.07855,2.08365,3.03782,1.93033,0.008812,0.008812,0.008812
14,2055.63,1.99025,2.31503,1.66127,0.46241,0.23378,0.19749,0.07748,2.05225,2.68945,1.88571,0.008713,0.008713,0.008713
15,2195.39,1.97352,2.28916,1.65665,0.20986,0.25053,0.17912,0.07903,2.1276,2.92069,1.95466,0.008614,0.008614,0.008614
16,2335.6,1.95653,2.26837,1.6419,0.27902,0.28293,0.25158,0.11037,1.99764,2.52232,1.90539,0.008515,0.008515,0.008515
17,2475.28,1.94587,2.22174,1.62591,0.32377,0.30543,0.24087,0.11262,1.98731,2.46554,1.82465,0.008416,0.008416,0.008416
18,2616.53,1.93895,2.21125,1.61607,0.29158,0.26199,0.24398,0.10547,2.01859,2.70382,1.86815,0.008317,0.008317,0.008317
19,2756.26,1.92903,2.22766,1.62302,0.26983,0.28889,0.2502,0.1086,2.02301,2.53701,1.89184,0.008218,0.008218,0.008218
20,2895.92,1.9196,2.17258,1.60382,0.26872,0.29973,0.24982,0.10957,2.01908,2.59219,1.88456,0.008119,0.008119,0.008119
21,3036.13,1.90411,2.15662,1.59169,0.52611,0.28408,0.26685,0.12595,1.96291,2.45581,1.80258,0.00802,0.00802,0.00802
22,3176.3,1.88861,2.13715,1.58739,0.28558,0.26139,0.25278,0.1128,2.03106,2.65799,1.88706,0.007921,0.007921,0.007921
23,3316.34,1.88753,2.11375,1.57854,0.57958,0.30325,0.28555,0.13453,1.99246,2.41455,1.84707,0.007822,0.007822,0.007822
24,3456.33,1.87692,2.106,1.58173,0.5398,0.33084,0.28366,0.12884,1.98072,2.43569,1.77771,0.007723,0.007723,0.007723
25,3596.55,1.8607,2.06296,1.5605,0.33834,0.3473,0.31592,0.1571,1.93395,2.25739,1.73099,0.007624,0.007624,0.007624
26,3737.18,1.87541,2.06195,1.56292,0.34709,0.31494,0.26538,0.11835,1.93916,2.41582,1.76595,0.007525,0.007525,0.007525
27,3877.63,1.86014,2.05216,1.55527,0.38034,0.33402,0.31971,0.14727,1.95659,2.34935,1.75688,0.007426,0.007426,0.007426
28,4024.18,1.85031,2.04302,1.55589,0.35949,0.33307,0.28243,0.1321,1.94531,2.42229,1.75844,0.007327,0.007327,0.007327
29,4169.57,1.8432,2.02131,1.5463,0.36117,0.32753,0.31079,0.15591,1.94796,2.3447,1.76837,0.007228,0.007228,0.007228
30,4322.14,1.82925,2.0148,1.53498,0.35582,0.36098,0.32329,0.15677,1.92292,2.27556,1.73972,0.007129,0.007129,0.007129
31,4475.06,1.82288,2.00312,1.53157,0.33807,0.37156,0.32894,0.15394,1.92985,2.28093,1.75495,0.00703,0.00703,0.00703
32,4620.01,1.8329,1.99319,1.5426,0.34563,0.35311,0.31857,0.14412,1.95359,2.2702,1.77112,0.006931,0.006931,0.006931
33,4764.95,1.82514,1.97385,1.52866,0.37592,0.34988,0.3281,0.14477,1.97131,2.34534,1.75836,0.006832,0.006832,0.006832
34,4910.09,1.81678,1.96939,1.52128,0.34403,0.34717,0.3098,0.15383,1.93429,2.22814,1.75404,0.006733,0.006733,0.006733
35,5055.21,1.80416,1.94051,1.51065,0.34214,0.35836,0.31326,0.14959,1.92451,2.22808,1.7446,0.006634,0.006634,0.006634
36,5200.19,1.80015,1.93147,1.50953,0.40783,0.33514,0.33961,0.15607,1.92702,2.23391,1.73981,0.006535,0.006535,0.006535
37,5344.68,1.80339,1.93292,1.50933,0.5891,0.3679,0.34396,0.16913,1.88074,2.13592,1.70372,0.006436,0.006436,0.006436
38,5489.72,1.80149,1.93777,1.50776,0.43138,0.3425,0.35454,0.17304,1.92005,2.19135,1.73937,0.006337,0.006337,0.006337
39,5634.83,1.7882,1.89879,1.49529,0.3781,0.37759,0.36037,0.17043,1.89406,2.17237,1.68235,0.006238,0.006238,0.006238
40,5780.52,1.77084,1.89159,1.48632,0.59604,0.37111,0.37587,0.18055,1.89965,2.13454,1.70857,0.006139,0.006139,0.006139
