epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.204,2.25875,3.86578,1.88247,0.09837,0.14357,0.06737,0.02457,2.19453,3.40458,1.98661,0.00332524,0.00332524,0.0700728
2,287.709,2.18817,2.95195,1.76755,0.07509,0.12371,0.04498,0.01454,2.39077,4.03896,2.24818,0.00659266,0.00659266,0.0400069
3,428.659,2.30922,2.98443,1.8815,0.14277,0.03602,0.02808,0.01081,2.52527,3.87693,2.38917,0.00979407,0.00979407,0.00987498
4,568.206,2.31904,2.93641,1.90196,0.26351,0.04729,0.02405,0.0065,2.45341,3.94818,2.32871,0.009703,0.009703,0.009703
5,707.727,2.24379,2.79771,1.84568,0.13048,0.13053,0.06983,0.02338,2.31692,3.66063,2.233,0.009604,0.009604,0.009604
6,847.268,2.1724,2.68569,1.79972,0.13075,0.1373,0.07909,0.02768,2.26024,3.17523,2.0757,0.009505,0.009505,0.009505
7,987.249,2.14119,2.61464,1.78958,0.18277,0.17162,0.109,0.04274,2.15746,3.45952,2.0642,0.009406,0.009406,0.009406
8,1126.68,2.1226,2.56277,1.76258,0.45925,0.1881,0.16394,0.06459,2.20671,2.93218,1.96767,0.009307,0.009307,0.009307
9,1266.59,2.07867,2.5121,1.73257,0.24177,0.20688,0.19492,0.07688,2.15028,2.69672,1.90922,0.009208,0.009208,0.009208
10,1406.12,2.07014,2.45318,1.71631,0.20936,0.19373,0.14364,0.05874,2.09553,2.84884,1.92482,0.009109,0.009109,0.009109
11,1545.59,2.04219,2.4162,1.70556,0.18351,0.19412,0.15949,0.0707,2.12885,2.79311,1.95241,0.00901,0.00901,0.00901
12,1685.63,2.03099,2.38564,1.69773,0.4678,0.20514,0.19875,0.08357,2.07834,2.76892,1.92762,0.008911,0.008911,0.008911
13,1825.36,2.01154,2.3432,1.68292,0.28561,0.23906,0.21193,0.09168,2.0415,2.75127,1.85795,0.008812,0.008812,0.008812
14,1964.02,1.99288,2.31186,1.65445,0.26672,0.27028,0.22832,0.09397,2.08269,2.61667,1.88202,0.008713,0.008713,0.008713
15,2103.1,1.96384,2.28049,1.64673,0.28468,0.28609,0.24969,0.1088,2.02703,2.61823,1.83556,0.008614,0.008614,0.008614
